Number of customers 	Network_All classes_System Response Time 	Network_All classes_System Throughput 	RED_Peticiones_Utilization 	CPU_Peticiones_Utilization 	DISCO_Peticiones_Utilization 	
5 	2.006146372389119 	2.494378441783398 	1.6072420186489784E-5 	5.966742965951209E-4 	8.014098245639804E-4 	
60 	2.0061931499878907 	29.811367145029024 	1.9106752100188018E-4 	0.007163791011666864 	0.009650371840724136 	
115 	2.0091355518784946 	57.56760856118216 	3.766465321240857E-4 	0.013576894547362784 	0.01849595224628355 	
170 	2.0020879672544667 	84.94191009321739 	5.537267562522042E-4 	0.020313895593139706 	0.02728209286486749 	
225 	2.0125878843269502 	111.69864503913112 	7.222684917225649E-4 	0.0267432322858554 	0.03644969718075375 	
280 	1.9968773752757032 	140.09837064284233 	9.220521320352234E-4 	0.03360531666592776 	0.045792670103281724 	
335 	1.9933687970171237 	168.12430538227048 	0.0010987351298554094 	0.03995487624251073 	0.05394463967052564 	
390 	1.9998980070772618 	195.9688151932606 	0.001266973673113889 	0.04611285296201573 	0.06284402683163409 	
445 	2.0053024183863295 	221.60051670710632 	0.0014224250210167631 	0.05279261667096838 	0.07266376514115329 	
500 	1.9958215457662785 	250.0006252604502 	0.001626764924727233 	0.05948052082744207 	0.0802007585712788 	
