Number of customers 	Network_All classes_System Response Time 	Network_All classes_System Throughput 	Red_Peticiones_Utilization 	CPU_Peticiones_Utilization 	Disco_Peticiones_Utilization 	Red_Peticiones_Residence Time 	CPU_Peticiones_Residence Time 	Disco_Peticiones_Residence Time 	
5 	2.0240375161229442 	2.4702598521648316 	6.14052051004698E-5 	0.029053654802492536 	0.01295589720603173 	2.3966077041419333E-5 	0.02339006506072622 	0.00528496654456709 	
60 	2.031749216977841 	29.522731341255504 	7.069715252516254E-4 	0.354472049629764 	0.15868897287927303 	2.4148643262204567E-5 	0.027173487752637712 	0.006246680771057746 	
115 	2.047703198246158 	56.15687366494252 	0.001332544539754905 	0.6645724593978497 	0.2966611640059007 	2.4033146964049456E-5 	0.04064771460813249 	0.007510796242930698 	
170 	2.1585690729612117 	79.0671876028067 	0.001911004543355052 	0.9422877727553878 	0.4175531469564289 	2.407811920820434E-5 	0.1268140141459454 	0.009018830419693827 	
225 	2.69156031547983 	84.32568863878318 	0.002013667546432031 	1.0 	0.4476478882592121 	2.404068833196572E-5 	0.6817626277887855 	0.009062028781314534 	
280 	3.2934274356658984 	84.20227777466177 	0.0020035291826164345 	1.0 	0.44184490253112707 	2.3872463865559575E-5 	1.3015409853564974 	0.00952223274705997 	
335 	4.014773307164745 	83.0298132439974 	0.002001678183534051 	1.0 	0.44381405758622877 	2.4022356728261698E-5 	1.9707009191194982 	0.00958472333832181 	
390 	4.645204709312875 	83.24079675589884 	0.0019993802458081657 	1.0 	0.4479121473330266 	2.4033041141880496E-5 	2.6074481597492425 	0.009237771825433151 	
445 	5.286888974451884 	83.88935763993597 	0.0019961486982872584 	1.0 	0.4497388952376363 	2.392075715627917E-5 	3.1532427625894366 	0.009356343709010354 	
500 	5.933225799391564 	83.79149539166245 	0.0020126811635495256 	1.0 	0.44130596715496495 	2.397220643721332E-5 	3.846904069687917 	0.008816438281162567 	
