Number of customers 	Red_Peticiones Internet_Utilization 	CPU_Peticiones Internet_Utilization 	Disco_Peticiones Internet_Utilization 	Red_All classes_Utilization 	CPU_All classes_Utilization 	Disco_All classes_Utilization 	Red_Peticiones_Residence Time 	CPU_Peticiones_Residence Time 	Disco_Peticiones_Residence Time 	Red_Peticiones Internet_Residence Time 	CPU_Peticiones Internet_Residence Time 	Disco_Peticiones Internet_Residence Time 	Red_All classes_Residence Time 	CPU_All classes_Residence Time 	Disco_All classes_Residence Time 	Network_Peticiones_System Throughput 	Network_Peticiones Internet_System Throughput 	Network_All classes_System Throughput 	Red_Peticiones_Utilization 	CPU_Peticiones_Utilization 	Disco_Peticiones_Utilization 	
5 	6.038292269725685E-4 	0.3042140487164132 	0.13381238241533983 	6.631667708516279E-4 	0.3298528508704493 	0.14711927679602832 	2.4107452179331384E-5 	0.0266308344430796 	0.006178515146448556 	2.391797022685021E-5 	0.026964267269998267 	0.0064023061841908145 	2.401963176086363E-5 	0.02729043335424487 	0.006363660752896886 	2.4642649488014636 	25.09084809529392 	27.556054694465438 	5.897355292816046E-5 	0.029430322849426444 	0.013132271790606812 	
60 	6.115753042072239E-4 	0.3032990278936402 	0.13389426926208034 	0.0013200260506033025 	0.6471463543665238 	0.28890296937780996 	2.414340518031385E-5 	0.03934767765944556 	0.007334510830853132 	2.4435776773963415E-5 	0.040397606180359306 	0.007412006335184195 	2.418757676608604E-5 	0.04000980167955907 	0.007382392694273727 	29.31245486645587 	24.950187567540823 	54.421658670789455 	7.0374288072821E-4 	0.35048929435509524 	0.15530692846628683 	
115 	5.966857756989932E-4 	0.30124426347342353 	0.13242067973830915 	0.0018744240186510175 	0.937387586377289 	0.41392133701712674 	2.391247043417365E-5 	0.13793746879436095 	0.00891959275858891 	2.378907568849977E-5 	0.1409463727836756 	0.00910973229513685 	2.3822453929310854E-5 	0.14102282100584268 	0.008917739798097507 	53.925673046315055 	25.078879904009074 	78.95244893612768 	0.0012772082555330352 	0.6350656943527668 	0.28549287994431216 	
170 	6.01219197225684E-4 	0.29839912646235045 	0.13343408224877215 	0.0020351569070215796 	1.0 	0.44380628156635227 	2.4342121603230457E-5 	0.8468932955213936 	0.0094040355155469 	2.40946200088369E-5 	0.8910951977943937 	0.009367169686235279 	2.4221276838338458E-5 	0.8675674829456899 	0.009338710471672255 	58.576178479683925 	25.067683199885224 	84.4427526580438 	0.0014220155182581946 	0.7250118474302392 	0.3139108324475376 	
225 	6.114502133149122E-4 	0.3064626964996232 	0.13503454984790442 	0.002014005168529696 	1.0 	0.4442798475707794 	2.390437021627136E-5 	1.8279240680511106 	0.009376046194816601 	2.4356390111903968E-5 	1.807622088160164 	0.009519074129782968 	2.3975855992398393E-5 	1.813242254284599 	0.009397664431203517 	58.6809325636626 	24.95781966937921 	84.01959842301812 	0.001396647987669179 	0.680449618596057 	0.30705572544591225 	
280 	6.027225329030592E-4 	0.2824944665748875 	0.1349942067065913 	0.0020847295160001736 	1.0 	0.4456816218529879 	2.4016366791259964E-5 	2.3581626250961643 	0.009005214101048476 	2.410333990229729E-5 	2.6686914033592757 	0.008857751700867575 	2.404481817117522E-5 	2.392166762766149 	0.00886968001518076 	58.78325098799636 	24.95998121279563 	84.25791490367924 	0.001441351840847634 	0.7194620590785721 	0.32280593085125286 	
335 	6.001712441349195E-4 	0.29903999454668256 	0.13040034054111616 	0.0020329694131176706 	1.0 	0.44607654535434194 	2.3869947732336465E-5 	3.0532712622474527 	0.008421579925577842 	2.3958780864648577E-5 	3.530631641493794 	0.009448877545010951 	2.3808945939332635E-5 	3.284511857933454 	0.008364887155206956 	59.23838379111403 	25.015552152825045 	83.99566759316555 	0.0014222014504811573 	0.7200876197688657 	0.31918649053264214 	
390 	6.112222014943881E-4 	0.29795455605874466 	0.1322460013882465 	0.0020169135090490555 	1.0 	0.4477086198688443 	2.3927727166848023E-5 	4.477303615827617 	0.008988439655437473 	2.411350734981715E-5 	4.609475119776986 	0.009537289376305604 	2.3918577654283192E-5 	4.392413622139199 	0.008962707070634962 	58.33069625290373 	24.977625959354413 	83.89248712879782 	0.0014045598255430286 	0.6877465785886209 	0.3070991672791257 	
445 	6.017349637818152E-4 	0.3155410777034551 	0.13117127788785227 	0.002030884382838786 	1.0 	0.4447307868903021 	2.3666133798246557E-5 	5.263904275574728 	0.009064763627056795 	2.4091074501616045E-5 	5.351245192150584 	0.009202035482976179 	2.3528351625354053E-5 	5.179396921705761 	0.00888065886522124 	58.21110845715362 	24.917311077043067 	84.04690865507543 	0.0014111686165439847 	0.7080781996649499 	0.3217364682567792 	
500 	6.004352951351079E-4 	0.2894740486994582 	0.13343553795388122 	0.0020245132458266758 	1.0 	0.44858629846972664 	2.406390408837552E-5 	5.807338137252538 	0.00898569259556657 	2.400307063216105E-5 	5.829876959735881 	0.00899174246187647 	2.3978225463719573E-5 	5.569899851181877 	0.008620576613519148 	58.844227376479026 	24.991346885437014 	84.04746011965452 	0.0014284695747162452 	0.6978101257076996 	0.31974146980598095 	
